ダウンロードした時刻：2020/07/09 13:56:32

,所沢,所沢,所沢
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2016/2/19,7.0,8,1
2016/2/20,6.5,8,1
2016/2/21,7.8,8,1
2016/2/22,5.6,8,1
2016/2/23,5.5,8,1
2016/2/24,4.6,8,1
2016/2/25,2.0,8,1
2016/2/26,3.6,8,1
2016/2/27,6.2,8,1
2016/2/28,7.0,8,1
2016/2/29,6.3,8,1
2016/3/1,3.7,8,1
2016/3/2,4.3,8,1
2016/3/3,7.6,8,1
2016/3/4,8.8,8,1
2016/3/5,9.5,8,1
2016/3/6,12.2,8,1
2016/3/7,11.4,8,1
2016/3/8,13.8,8,1
2016/3/9,7.5,8,1
2016/3/10,5.1,8,1
2016/3/11,3.2,8,1
2016/3/12,4.6,8,1
2016/3/13,5.4,8,1
2016/3/14,4.3,8,1
2016/3/15,6.5,8,1
2016/3/16,6.6,8,1
2016/3/17,11.4,8,1
2016/3/18,12.9,8,1
2016/3/19,13.8,8,1
2016/3/20,12.1,8,1
2016/3/21,8.9,8,1
2016/3/22,8.6,8,1
2016/3/23,9.2,8,1
2016/3/24,5.3,8,1
2016/3/25,5.8,8,1
2016/3/26,7.2,8,1
2016/3/27,9.5,8,1
2016/3/28,10.2,8,1
2016/3/29,11.0,8,1
2016/3/30,13.1,8,1
2016/3/31,13.5,8,1
2016/4/1,11.7,8,1
2016/4/2,9.5,8,1
2016/4/3,12.4,8,1
2016/4/4,13.5,8,1
2016/4/5,9.5,8,1
2016/4/6,13.2,8,1
2016/4/7,11.2,8,1
2016/4/8,15.5,8,1
2016/4/9,15.1,8,1
2016/4/10,15.4,8,1
2016/4/11,10.2,8,1
2016/4/12,9.3,8,1
2016/4/13,12.8,8,1
2016/4/14,14.5,8,1
2016/4/15,14.5,8,1
2016/4/16,13.2,8,1
2016/4/17,19.0,8,1
2016/4/18,17.3,8,1
2016/4/19,15.4,8,1
2016/4/20,13.6,8,1
2016/4/21,14.4,8,1
2016/4/22,16.7,8,1
2016/4/23,16.4,8,1
2016/4/24,14.6,8,1
2016/4/25,16.8,8,1
2016/4/26,17.5,8,1
2016/4/27,16.6,8,1
2016/4/28,13.7,8,1
2016/4/29,15.0,8,1
2016/4/30,14.3,8,1
2016/5/1,17.2,8,1
2016/5/2,16.3,8,1
2016/5/3,19.0,8,1
2016/5/4,21.9,8,1
2016/5/5,20.5,8,1
2016/5/6,17.3,8,1
2016/5/7,21.2,8,1
2016/5/8,19.8,8,1
2016/5/9,16.8,8,1
2016/5/10,18.1,8,1
2016/5/11,18.2,8,1
2016/5/12,20.7,8,1
2016/5/13,19.7,8,1
2016/5/14,19.4,8,1
2016/5/15,17.0,8,1
2016/5/16,18.1,8,1
2016/5/17,16.4,8,1
2016/5/18,18.3,8,1
2016/5/19,18.4,8,1
2016/5/20,16.0,8,1
2016/5/21,18.6,8,1
2016/5/22,21.3,8,1
2016/5/23,22.7,8,1
2016/5/24,22.5,8,1
2016/5/25,21.0,8,1
2016/5/26,22.1,8,1
2016/5/27,19.4,8,1
2016/5/28,18.5,8,1
2016/5/29,21.0,8,1
2016/5/30,16.1,8,1
2016/5/31,19.3,8,1
2016/6/1,20.3,8,1
2016/6/2,19.2,8,1
2016/6/3,18.2,8,1
2016/6/4,20.7,8,1
2016/6/5,19.4,8,1
2016/6/6,19.4,8,1
2016/6/7,18.2,8,1
2016/6/8,21.4,8,1
2016/6/9,20.5,8,1
2016/6/10,23.3,8,1
2016/6/11,22.5,8,1
2016/6/12,22.8,8,1
2016/6/13,19.0,8,1
2016/6/14,21.8,8,1
2016/6/15,19.1,8,1
2016/6/16,20.8,8,1
2016/6/17,24.0,8,1
2016/6/18,25.9,8,1
2016/6/19,22.6,8,1
2016/6/20,23.6,8,1
2016/6/21,21.7,8,1
2016/6/22,21.3,8,1
2016/6/23,22.4,8,1
2016/6/24,21.6,8,1
2016/6/25,23.0,8,1
